"### Module positions - created on Wednesday, July 20, 2016 'PMt' 02:43:45 PM ###",,,,,,
### Printed by Pcbnew version kicad 4.0.0-stable,,,,,,
"## Unit = mm, Angle = deg.",,,,,,
## Side : top,,,,,,
Ref,Val,Package,PosX,PosY,Rot,Side
C1,100n,C_0603,25.5,12.75,90,top
C2,100n,C_0603,24.1,19.2,0,top
C3,100n,C_0603,11.9,21.7,180,top
C4,100n,C_0603,20.9,22,0,top
C5,4.7u,C_1206,51,10,270,top
C6,100n,C_0603,13.5,5.5,270,top
C7,100n,C_0603,8.75,19.25,0,top
C8,4.7u,C_1206,48.25,10,270,top
C9,100n,C_0603,10.25,9,270,top
C11,4.7u,C_1206,28.5,3.5,270,top
C12,100n,C_0603,8,13,90,top
C13,100n,C_0603,26.5,2,270,top
C14,4.7u,C_1206,11.25,3.5,270,top
C15,4.7u,C_1206,24,3.5,270,top
C16,100n,C_0603,8,16.5,90,top
C17,18pF,C_0603,13.5,2.5,90,top
C18,100n,C_0603,22,2,270,top
C19,18pF,C_0603,19.5,2.5,270,top
C20,1uF,C_0603,29.5,12.75,270,top
C21,1uF,C_0603,27.5,12.75,270,top
C22,dnp-100n,C_0603,45.5,20.75,270,top
D1,RXLED,LED-0603,2,16.5,180,top
D2,TXLED,LED-0603,2,14.5,180,top
D3,PWRLED,LED-0603,2,19.25,180,top
D4,D_Small,SOD-523,24.1,20.7,180,top
D5,D_Small,SOD-523,24.1,22,180,top
FB1,600R/0.5A,R_0805,22,5,270,top
FB2,600R/0.5A,R_0805,26.5,5,270,top
P3,USB_OTG,USB_Micro-B_SMT,35,2.7228,0,top
P4,dnp-REF-182665-01,Pin_Header_Straight_TH-SMT-NoPaste_2x20,8.37,25.23,90,top
Q1,Q_PMOS_GSD,SOT-23,33,12.75,180,top
Q2,DMMT3906_Dual_PNP,SOT-23-6,33,16.25,0,top
R1,10k,R_0603,2,12.25,0,top
R2,2k,R_0603,5,12.25,0,top
R3,20k,R_0603,53.25,8.5,90,top
R4,33k,R_0603,55.25,8.5,270,top
R5,dnp-0,R_0603,39,20.5,270,top
R6,10k,R_0603,60.25,8.5,270,top
R7,0.05,R_1206,57.75,11.25,270,top
R8,10k,R_0603,60.25,12,270,top
R9,220,R_0603,5,16.5,0,top
R10,220,R_0603,5,14.5,0,top
R11,10,R_0603,28.5,7.75,0,top
R12,10,R_0603,28.5,9.75,0,top
R13,10k,R_0603,36,16.25,90,top
R14,47k,R_0603,36,12.75,270,top
R15,220,R_0603,5,19.25,0,top
R16,dnp-1k,R_0603,56,20.75,270,top
R17,dnp-3.9k,R_0603,60,20.75,270,top
R18,dnp-3.9k,R_0603,58,20.75,270,top
R19,10k,R_0603,57.75,8,180,top
SW1,SW_PUSH,SW_SPST_EVPBF,43.5,10.25,90,top
U1,93LC56B,TSSOP-8_4.4x3mm_Pitch0.65mm,4.75,9.25,180,top
U2,MIC9409x_SC-70,SC-70-6,54.25,12,90,top
U3,FT2232H,TQFP-64_10x10mm_Pitch0.5mm,16.5,14.5,135,top
U4,AP7365_SOT-23-5,SOT-23-5,28.5,16.25,180,top
U5,PRTR5V0U2X,SOT-143_NXP,31.75,8.75,180,top
U6,dnp-AT24CS32-SSHM,TSSOP-8_4.4x3mm_Pitch0.65mm,50.75,20.75,0,top
Y1,12MHz,Crystal_Grounded_3.2x2.5,16.5,2.5,0,top
## End,,,,,,
